priority,tier,company,contact,contact_role,website,contact_route,email,email_type,email_source,verified_signal,recovery_hypothesis,source_url,engagement_type,status
1,A,DryMerge,Samuel Brashears,Founder / CTO,https://drymerge.com,Founder LinkedIn or company demo form,founders@drymerge.com,founder-team,https://drymerge.com/contact,"Nango customer; background agents monitor email, calendar and calls and write to 50+ CRMs",Revoke a CRM grant after an email has been processed but before the CRM write is acknowledged; reconcile and resume once,https://www.ycombinator.com/companies/drymerge,Pilot,Not contacted
2,A,Motion,Omid Rooholfada,Co-founder,https://www.usemotion.com,Founder LinkedIn or company contact,Not publicly listed,none,https://www.usemotion.com/help/motion-support/contact-support,Nango case study; launched 189 integrations and syncs tens of millions of jobs monthly,Expire a Google or Microsoft grant during a scheduled multi-tool workflow and preserve the original job,https://nango.dev/customers,Pilot,Not contacted
3,A,Vapi,Sriram Balasubramanian,Founding Engineer,https://vapi.ai,LinkedIn or company contact,support@vapi.ai,support,https://docs.vapi.ai/support,Nango customer; integrations execute inline during live calls where reliability and latency are critical,Lose a calendar or CRM grant during a live-call action and safely reconcile the uncertain write,https://nango.dev/,Pilot,Not contacted
4,A,Sim,Emir Karabeg; Waleed Latif,Co-founder / CEO; Co-founder / CTO,https://sim.ai,YC profile or founder LinkedIn,Not publicly listed,none,https://www.sim.ai/contact,Agent workflow platform used by 70k+ developers with 1000+ app and LLM integrations,Inject credential revocation into a scheduled Slack-Gmail workflow and prove checkpoint resume without replay,https://www.ycombinator.com/companies/sim,Pilot,Not contacted
5,A,Fazeshift,Caitlin Leksana; Timmy Galvin,Co-founders,https://www.fazeshift.com,YC profile or company demo form,support@fazeshift.com,support,https://www.fazeshift.com/privacy-policy,"Accounts-receivable agent spans Salesforce, HubSpot, DocuSign, Stripe, QuickBooks, NetSuite and Gmail",Expire NetSuite or Gmail authorization during invoice collection and reconcile payment or email side effects,https://www.ycombinator.com/companies/fazeshift,Pilot,Not contacted
6,A,Agentin AI,Sankeerth Rao Karingula,Founder,https://www.agentin.ai,Founder LinkedIn or company contact,sankeerthrao@agentin.ai,founder-direct,https://www.agentin.ai,"Quote-to-cash agents connect Salesforce, NetSuite and SAP and perform invoicing and payment workflows",Revoke ERP authorization between order creation and invoicing; resume the same order without duplicating invoices,https://www.ycombinator.com/launches/MwW-agentin-ai-ai-agents-to-automate-quote-to-cash,Pilot,Not contacted
7,A,Laminar (formerly SRE.ai),Raj Kadiyala; Edward Aryee,Co-founder / CEO; Co-founder / CTO,https://www.laminar.com,info@sre.ai,info@sre.ai,team,https://www.ycombinator.com/companies/laminar-com,Salesforce DevOps agents run executable deployment workflows with human approvals and access controls,Expire Salesforce authorization midway through deployment and resume after reconnect without replaying completed mutations,https://www.ycombinator.com/companies/laminar-com,Pilot,Not contacted
8,A,Credal,Ravin Thambapillai,Co-founder / CEO,https://credal.ai,Founder LinkedIn or company contact,sales@credal.ai,sales,https://www.credal.ai/get-started,"Nango customer; multi-agent platform acts across GSuite, Salesforce and Slack with end-user permissions",Revoke a user grant during a multi-agent task and validate subject binding before continuing,https://www.ycombinator.com/launches/N5K-credal-ai-the-security-first-multi-agent-collaboration-platform,Pilot,Not contacted
9,A,Beam AI,Jonas Diezun; Aqib Ansari,Co-founder / CEO; Co-founder / Chief AI Officer,https://beam.ai,Founder LinkedIn or company contact,marketing@beam.ai,team,https://beam.ai,"Nango customer; production enterprise agents integrate with SAP, Salesforce and 1000+ systems",Park a mission-critical workflow after an expired enterprise grant and prevent an old worker from continuing,https://beam.ai/about,Pilot,Not contacted
10,A,Levity,Gero Keil; Sebastian Grodzicki,Co-founder / CEO; CTO,https://levity.ai,Founder LinkedIn or company contact,support@levity.ai,support,https://app.levity.ai,Nango customer; visual AI automation flows process operational email and documents,Expire mailbox access after document classification and before downstream write; resume without reprocessing the document,https://levity.ai/en/product/automation,Pilot,Not contacted
11,A,Clicks,Dominik Helmreich; Oliver Knapp,Co-founders,https://goclicks.ai,YC profile or company demo form,contact@goclicks.ai,team,https://goclicks.ai,"Back-office agents operate Bullhorn, Salesforce and custom systems and accept work through Slack or email",Interrupt a recruiting workflow after a CRM action and reconcile whether it already committed,https://www.ycombinator.com/companies/clicks,Pilot,Not contacted
12,A,Dash / Slashy,Harsha Gaddipati,Founder,https://usedash.ai,founders@usedash.ai,founders@usedash.ai,founder-team,https://www.ycombinator.com/launches/Nv3-dash-ai-that-actually-gets-work-done,"Agent completes multi-step tasks across Gmail, Slack, Notion, Linear, HubSpot and Calendar",Expire Gmail or HubSpot authorization halfway through a weekly update and resume the original task,https://www.ycombinator.com/launches/Nv3-dash-ai-that-actually-gets-work-done,Pilot,Not contacted
13,A,Opensteer,Tim Jang,Founder,https://opensteer.com,YC profile or founder LinkedIn,support@opensteer.com,support,https://opensteer.com/terms,"Always-on specialized agents use CRM, Gmail, LinkedIn, Slack and browser-only portals",Invalidate one account during a 24/7 sales workflow and route same-account recovery without restarting the agent,https://www.ycombinator.com/companies/opensteer,Pilot,Not contacted
14,A,Unisson,Varun Mathur,Founder / CEO,https://www.unisson.ai,YC profile or founder LinkedIn,founders@unisson.ai,founder-team,https://www.unisson.ai,"Agents gather requirements from existing tools and perform onboarding, administration and custom integrations",Lose access during a customer deployment and preserve completed onboarding work across reauthorization,https://www.ycombinator.com/companies/unisson,Pilot,Not contacted
